"rank","team","games","points_scored","total_yards","offensive_plays","yards_per_play","turnovers_lost","fumbles_lost","1st_downs","passes_completed","passes_attempted","passing_yards","passing_touchdowns","passing_interceptions","net_yards_per_pass_attempt","passing_1st_downs","rushing_attempts","rushing_yards","rushing_touchdowns","rushing_yards_per_attempt","rushing_1st_downs","penalties","penalty_yards","1st_down_penalties","percentage_scoring_drives","percentage_turnover_drives","expected_points"
"1","Kansas City Chiefs","7","223","2823","445","6.3","8","3","171","176","266","2072","20","5","7.5","115","167","751","7","4.5","38","37","370","18","50","8.3","109.09"
"2","Seattle Seahawks","8","210","2817","468","6","11","7","160","181","250","1771","13","4","6.6","91","199","1046","8","5.3","51","60","528","18","44.7","10.6","48.63"
"3","Baltimore Ravens","8","208","2875","486","5.9","9","3","166","148","235","1550","15","6","6.2","79","234","1325","7","5.7","76","43","390","11","44.2","10.5","55.68"
"4","Buffalo Bills","7","203","3014","455","6.6","12","6","166","175","271","2154","19","6","7.6","104","173","860","4","5","49","40","265","13","46.6","16.4","94.14"
"5","Cleveland Browns","8","200","3086","538","5.7","12","6","181","163","256","1769","7","6","6.5","90","266","1317","15","5","79","51","413","12","42.9","13.1","67.49"
"6","Atlanta Falcons","8","200","2566","465","5.5","10","4","157","112","178","1301","10","6","6.6","71","268","1265","9","4.7","70","37","295","16","40.2","12.2","58.82"
"7","New Orleans Saints","8","199","3155","523","6","16","7","169","184","284","2025","14","9","6.8","96","224","1130","9","5","62","57","486","11","38","16.3","35.8"
"8","Philadelphia Eagles","7","196","2768","477","5.8","2","0","164","143","214","1721","10","2","7.4","83","245","1047","14","4.3","67","39","293","14","42.7","2.7","86.77"
"9","Cincinnati Bengals","8","186","2792","519","5.4","10","4","172","212","306","2144","17","6","6.4","112","183","648","5","3.5","40","36","239","20","38.8","10.6","56.33"
"10","Dallas Cowboys","8","183","2577","474","5.4","7","2","145","144","237","1525","8","5","6.1","81","225","1052","10","4.7","53","55","418","11","37.5","8","24.03"
"11","Arizona Cardinals","8","182","2777","562","4.9","8","2","173","217","329","1846","10","6","5.3","102","213","931","7","4.4","59","52","435","12","34.9","8.4","23.88"
"12","Miami Dolphins","8","178","3045","488","6.2","10","3","166","193","292","2340","15","7","7.6","112","179","705","5","3.9","41","55","416","13","36.9","11.9","56.99"
"13","New England Patriots","8","177","2676","485","5.5","16","6","147","161","236","1691","8","10","6.7","81","231","985","9","4.3","54","48","383","12","36","18","0.46"
"14","San Francisco 49ers","8","176","2853","480","5.9","12","6","158","160","251","1897","12","6","7.1","88","212","956","7","4.5","56","51","358","14","34.5","14.3","42.19"
"15","New York Jets","8","176","2705","509","5.3","12","4","144","171","299","1835","9","8","5.8","92","191","870","9","4.6","37","52","567","15","33.3","12.5","-11.96"
"16","Minnesota Vikings","7","173","2420","446","5.4","7","2","157","177","266","1660","11","5","5.9","95","166","760","10","4.6","45","35","271","17","37","8.6","47.36"
"17","Detroit Lions","7","173","2764","446","6.2","11","5","147","160","250","1808","12","6","6.9","90","183","956","9","5.2","45","44","359","12","37.7","14.3","37.59"
"18","Jacksonville Jaguars","8","172","2904","512","5.7","12","6","181","173","278","1751","10","6","6","96","222","1153","9","5.2","61","50","384","24","35.7","14.3","44.1"
"19","Los Angeles Chargers","7","164","2578","485","5.3","7","3","148","203","308","1956","12","4","6.2","95","167","622","6","3.7","36","41","337","17","38","7.6","27.4"
"20","New York Giants","8","163","2565","511","5","8","5","163","144","223","1273","6","3","5.1","71","263","1292","10","4.9","73","54","427","19","40.2","6.1","33.54"
"21","Las Vegas Raiders","7","163","2386","423","5.6","6","1","143","158","251","1577","9","5","5.9","84","155","809","6","5.2","48","45","350","11","47","9.1","49.9"
"22","Carolina Panthers","8","158","2381","446","5.3","9","3","116","137","238","1497","7","6","5.8","62","187","884","7","4.7","44","43","402","10","31.5","9","-33"
"23","Chicago Bears","8","155","2522","476","5.3","12","6","139","94","160","1015","7","6","5.3","49","285","1507","9","5.3","75","41","333","15","38.1","11.9","2.16"
"24","Tampa Bay Buccaneers","8","146","2663","516","5.2","7","6","160","224","340","2168","9","1","6.1","110","163","495","3","3","34","44","358","16","35.6","5.7","13.2"
"25","Green Bay Packers","8","145","2719","499","5.4","10","6","159","188","283","1739","13","4","5.8","88","199","980","3","4.9","56","48","346","15","27.6","10.3","12.88"
"26","Washington Commanders","8","142","2648","531","5","10","2","157","187","296","1813","13","8","5.6","92","209","835","4","4","50","49","477","15","26","10.4","-19.55"
"27","Tennessee Titans","7","132","1999","397","5","9","5","116","102","160","1033","6","4","5.8","56","220","966","8","4.4","47","45","381","13","30.7","8","0.46"
"28","Indianapolis Colts","8","129","2715","535","5.1","16","7","162","220","320","2013","9","9","5.8","111","189","702","3","3.7","40","45","372","11","30.7","18.2","-24.57"
"29","Denver Broncos","8","121","2631","509","5.2","9","4","136","158","274","1764","6","5","5.9","79","211","867","5","4.1","43","70","601","14","28","8.6","-25.33"
"30","Pittsburgh Steelers","8","120","2390","506","4.7","14","4","147","192","295","1631","6","10","5.2","93","190","759","4","4","44","51","358","10","27.3","13.6","-34.08"
"31","Los Angeles Rams","7","118","2082","431","4.8","13","5","131","183","260","1603","7","8","5.6","93","147","479","6","3.3","27","28","255","11","31","18.3","-12.31"
"32","Houston Texans","7","116","2021","409","4.9","7","1","114","149","237","1374","8","6","5.4","61","156","647","3","4.1","39","39","310","14","30.4","8.9","-24.2"
